sensor_configuration,num_features,accuracy,precision,recall,f1_score
No PIR,19,0.9935622317596566,0.9961685507378016,0.9952107279693486,0.9956875819287182
All sensors,23,0.9921316165951359,0.9942719752160434,0.9952107279693486,0.994735200823652
No CO2,18,0.9914163090128755,0.9961603012134663,0.9923371647509579,0.9942418300021872
No Time,22,0.9907010014306152,0.9942500338073726,0.9932950191570882,0.9937691008308742
Temperature + Humidity + Noise,8,0.9878397711015737,0.9904598014814397,0.9932950191570882,0.9918740257077155
No Light,18,0.9878397711015737,0.9933248796447255,0.9904214559386973,0.991853271295445
No Noise,20,0.986409155937053,0.9877360317589994,0.9942528735632185,0.9909485869051928
Temperature + Humidity + Light,10,0.9799713876967097,0.9867989333888364,0.9865900383141762,0.9866246334412918
Temperature + Light + Time,9,0.9756795422031473,0.9785029316234904,0.9894636015325671,0.983864969776763
Temperature + Light + Noise,11,0.9756795422031473,0.977376669366106,0.9904214559386973,0.9838501543267751
No Temperature,20,0.974964234620887,0.983694927814386,0.9827586206896551,0.983199071334707
No Humidity,21,0.9735336194563663,0.973743352747531,0.9913793103448277,0.9824611032531824
Humidity + Light + Noise,10,0.9735336194563663,0.982726188699095,0.981800766283525,0.9822357434748272
Humidity + Light + Time,8,0.9706723891273247,0.9771751851300562,0.9837164750957855,0.9804318137905802
Temperature + Humidity + PIR,9,0.9706723891273247,0.9817581237871092,0.9789272030651341,0.9803243966334095
